preset,front,back,cardset

t00,"['c901', 'c902']","[]","['a9001','a9002','a9003','s9002','s9003']"

r00,"['c903', 'c904']","[]","['a9004','a9005','a9006','s9005','s9006']"

r01,"['h001','h002']","['h003','h004']","['a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001']"

t01,"['c001', 'c002']","['c003', 'c004']","['a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001']"

asdfasdfasdf,"['c001', 'c002']","['c003', 'c004']","['a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001','a0001','s0001']"

